"시도별","산업별",2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018
"시도별","산업별",기업체수 (개),종사자수 (명),급여액 (백만원),운송수단 및 창고수 (수),매출액 (백만원),영업비용 (백만원),부가가치 (백만원),유형자산 (백만원),기업체수 (개),종사자수 (명),급여액 (백만원),운송수단 및 창고수 (수),매출액 (백만원),영업비용 (백만원),부가가치 (백만원),유형자산 (백만원),기업체수 (개),종사자수 (명),급여액 (백만원),운송수단 및 창고수 (수),매출액 (백만원),영업비용 (백만원),부가가치 (백만원),유형자산 (백만원),기업체수 (개),종사자수 (명),급여액 (백만원),운송수단 및 창고수 (수),매출액 (백만원),영업비용 (백만원),부가가치 (백만원),유형자산 (백만원),기업체수 (개),종사자수 (명),급여액 (백만원),운송수단 및 창고수 (수),매출액 (백만원),영업비용 (백만원),부가가치 (백만원),유형자산 (백만원),기업체수 (개),종사자수 (명),급여액 (백만원),운송수단 및 창고수 (수),매출액 (백만원),영업비용 (백만원),부가가치 (백만원),유형자산 (백만원),기업체수 (개),종사자수 (명),급여액 (백만원),운송수단 및 창고수 (수),매출액 (백만원),영업비용 (백만원),부가가치 (백만원),유형자산 (백만원),기업체수 (개),종사자수 (명),급여액 (백만원),운송수단 및 창고수 (수),매출액 (백만원),영업비용 (백만원),부가가치 (백만원),유형자산 (백만원),기업체수 (개),종사자수 (명),급여액 (백만원),운송수단 및 창고수 (수),매출액 (백만원),영업비용 (백만원),부가가치 (백만원),유형자산 (백만원),기업체수 (개),종사자수 (명),급여액 (백만원),운송수단 및 창고수 (수),매출액 (백만원),영업비용 (백만원),부가가치 (백만원),유형자산 (백만원),기업체수 (개),종사자수 (명),급여액 (백만원),운송수단 및 창고수 (수),매출액 (백만원),영업비용 (백만원),부가가치 (백만원),유형자산 (백만원)
"서울특별시","육상운송 및 파이프라인 운송업",88381,269769,4656584,196733,13956845,11775469,8766262,17805625,87659,274330,5095232,202745,16087176,14039549,9336598,19143496,86668,287422,5428750,207855,18903515,16658237,10113543,20510542,86093,274439,5557696,201732,18454254,16964359,9449061,16771810,85310,263402,5294308,197112,16722378,15390524,8977161,15896202,87285,276453,5422354,210869,19792866,18359300,10146089,17789019,88512,277619,5736256,212079,20721511,19164673,10803325,12671257,88572,280120,5631285,220092,20894108,18603236,12279686,15573576,88117,273424,5730445,215683,20857179,18987673,11394875,16365337,87405,282909,7049777,219848,22478717,20840839,11416594,22246183,87865,264663,6204393,203700,23181236,21345615,11096678,20692249
"서울특별시","수상 운송업",139,16632,852384,1472,31864040,29945491,5326603,17204269,150,18779,994378,2701,50716508,47382401,9225757,26495400,147,17775,847667,1773,34040186,35642758,2427750,27489556,131,16420,988341,1691,39474387,39914599,3375754,29873098,144,17174,1056448,1578,42269255,42608599,3273168,31529748,147,16771,1017739,1402,37724347,37822177,3801557,29634422,142,16108,1008052,1378,35523616,34576700,5195062,29857795,136,16951,1038629,1471,34747138,33317942,5812155,30189338,127,16216,1090060,1337,28096765,28668661,3329112,31275886,114,12659,874309,1224,24415390,23782164,3444312,27472314,108,13590,888824,1379,25645680,25087014,3620147,24225975
"서울특별시","항공 운송업",7,21378,1151139,224,12508641,11658567,3961751,13670272,8,25289,1339458,222,14521273,14682564,3238820,14141865,9,25593,1424171,233,13424782,13553235,3458052,14628362,28,29282,1737938,516,19872334,18199079,6206899,16789652,28,30189,1794285,522,20745045,19709722,5754481,17629392,28,30947,1900170,496,20212843,19613949,5742950,18475315,24,31776,1929903,468,20408106,19559345,5936708,19053941,26,32689,2076730,489,19882547,18208712,7777948,20961557,28,33889,2130954,498,20425992,18335852,7411830,21335452,31,34310,2359932,807,20841020,18963493,8421465,21772873,35,34973,2439534,959,22840195,21267231,8245779,20527132
"서울특별시","창고 및 운송관련 서비스업",4417,61180,1498344,550,4928076,4424647,2890358,11018328,3847,49251,1475036,594,5210960,4626859,3034922,9816887,3648,44499,1347680,528,5502738,4839469,2971034,12072610,4070,48351,1534819,455,6833819,6025404,3526093,8888013,3797,48280,1578405,430,6633977,5885415,3378084,5606624,3918,46276,1584533,8692,6790866,6033454,3516653,5432926,3917,45098,1651918,8570,7413792,6440246,3810266,5977061,3960,44426,1601112,8732,7417174,6421484,4060504,5554938,4485,46058,1690456,8526,7831374,6802554,3995783,4802323,5133,46560,1890113,8517,8084714,7189141,4269389,4539477,5155,38855,1616332,3423,8265573,7505734,3561214,5580960
"부산광역시","육상운송 및 파이프라인 운송업",25200,85420,1629907,63936,5062509,4515307,2864754,5987396,24840,82246,1553029,59194,4625980,4191428,2588183,6097921,24753,77631,1504525,55758,4765213,4161037,2785599,6317283,25292,72619,1247244,59100,4670504,4300544,2318945,4696239,24630,71792,1424230,58933,4907452,4546755,2394758,4576540,25226,72800,1372123,59030,4874228,4498778,2431820,4779794,25585,72408,1385138,58906,5223555,4883241,2465317,4643977,25823,70803,1455068,56995,4985213,4585313,2444615,4895117,25245,68917,1490703,55117,4924647,4538562,2531974,6268597,25304,69772,1510322,60405,4821412,4626648,2557871,4990655,25459,71896,1574406,58974,4798902,4592965,2531629,5168732
"부산광역시","수상 운송업",87,3036,87602,295,556389,531819,245297,528758,90,3510,113801,385,1022781,872736,503053,1715054,129,4765,160580,533,1154478,1060076,580446,1686803,114,3990,142306,445,1134144,1061298,495116,1897443,124,4585,181970,458,1488075,1412812,584525,1923240,163,4928,193921,588,1698532,1596437,628284,2034604,158,4485,181880,583,1736680,1696252,548093,2229390,198,5359,226853,618,1917441,1736435,878987,2643489,211,5679,254580,697,1800646,1632905,856991,2806929,191,5521,251882,668,1782889,1651191,764982,2365420,181,5350,250162,625,1583354,1392213,762681,2326265
"부산광역시","항공 운송업",-,-,-,-,-,-,-,-,1,...,...,...,...,...,...,...,1,...,...,...,...,...,...,...,1,...,...,...,...,...,...,...,1,...,...,...,...,...,...,...,1,...,...,...,...,...,...,...,1,...,...,...,...,...,...,...,1,...,...,...,...,...,...,...,1,...,...,...,...,...,...,...,1,...,...,...,...,...,...,...,1,X,X,X,X,X,X,X
"부산광역시","창고 및 운송관련 서비스업",3814,15296,350200,346,1517261,1248246,944072,10752339,3100,15231,366975,320,1432543,1243826,879291,11066035,3062,15255,322028,321,1229302,1059116,832019,13453932,2666,12379,292766,308,1720892,1355739,1004863,10236996,3040,14876,326687,339,1536516,1199664,962096,5425295,3033,14016,371861,293,1854084,1485722,1106188,6189300,3004,15128,397674,332,1933154,1505717,1207531,6332842,3026,16325,457937,279,2299789,1904840,1315304,6727425,3487,19603,611760,299,2934910,2401570,1604637,7366865,4093,21751,743102,350,3242521,2673937,1895512,7828300,4088,23304,842364,245,3133972,2650012,1882664,7787074
